PublicationDate,RegistrationNumber,DesignCurrentStatusCode,ViewNumber
2016-06-03,20156113,Registered,981536
2016-06-03,20156113,Registered,981537
2016-06-03,20156113,Registered,981538
2016-06-03,20156113,Registered,981539
2016-06-03,20156113,Registered,981540
2016-06-03,20156118,Registered,980780
2016-06-03,20156118,Registered,980781
2016-06-03,20156118,Registered,980782
2016-06-03,20156118,Registered,980783
2016-06-03,20156118,Registered,980784;980785
2016-06-03,20156118,Registered,980786
2016-06-03,20156118,Registered,980787
2016-06-03,20156118,Registered,980788
2016-06-03,20156118,Registered,980789
2016-06-03,20156118,Registered,980790
2016-06-03,20156118,Registered,980791
2016-06-03,20156118,Registered,980792
2016-06-03,20156118,Registered,980793
2016-06-03,20156118,Registered,980794
2016-06-03,20156118,Registered,980795
2016-06-03,20156118,Registered,980796
2016-06-03,20156118,Registered,980797
2016-06-03,20156118,Registered,980798
2016-06-03,20156118,Registered,980799
2016-06-03,20156118,Registered,980800
2016-06-03,20156118,Registered,980801
2016-06-03,20156118,Registered,980802
2016-06-03,20156118,Registered,980803
2016-06-03,20156118,Registered,980804
2016-06-03,20156118,Registered,980805
2016-06-03,20156118,Registered,980806
2016-06-03,20156118,Registered,980807
2016-06-03,20156118,Registered,980808
2016-06-03,20156118,Registered,980809
2016-06-03,20156118,Registered,980810
2016-06-03,20156118,Registered,980811
2016-06-03,20156118,Registered,980812
2016-06-03,20156118,Registered,980813
2016-06-03,20156118,Registered,980814
2016-06-03,20156118,Registered,980815
2016-06-03,20156118,Registered,980816
2016-06-03,20156118,Registered,980817
2016-06-03,20156118,Registered,980818
2016-06-03,20156118,Registered,980819
2016-06-03,20156118,Registered,980820
2016-06-03,20156118,Registered,980838
2016-06-03,20156118,Registered,980839
2016-06-03,20156118,Registered,980840
2016-06-03,20156118,Registered,980841
2016-06-03,20156118,Registered,980842
2016-06-03,20156118,Registered,980843
2016-06-03,20156118,Registered,980844
2016-06-03,20156118,Registered,980845
2016-06-03,20156118,Registered,980846
2016-06-03,20156118,Registered,980847
2016-06-03,20156118,Registered,980848
2016-06-03,20156118,Registered,980946
2016-06-03,20156118,Registered,980953
2016-06-03,20156119,Registered,981022
2016-06-03,20156119,Registered,981030
2016-06-03,20156119,Registered,981023
2016-06-03,20156119,Registered,981024
2016-06-03,20156119,Registered,981025
2016-06-03,20156121,Registered,980971
2016-06-03,20156192,Registered,981627
2016-06-03,20156193,Registered,981278
2016-06-03,20156193,Registered,981279
2016-06-03,20156193,Registered,981280
2016-06-03,20156193,Registered,981281
2016-06-03,20156193,Registered,981282
2016-06-03,20156193,Registered,981283
2016-06-03,20156193,Registered,981284
2016-06-03,20156197,Registered,981624
2016-06-03,20156197,Registered,981625
2016-06-03,20156197,Registered,981626
2016-06-03,20156282,Registered,981488
2016-06-03,20156289,Registered,981628
2016-06-03,20156295,Registered,981629
2016-06-03,20156311,Registered,981579;981580
2016-06-03,20156311,Registered,981581
2016-06-03,20160031,Registered,981441
2016-06-03,20160036,Registered,981630
2016-06-03,20160036,Registered,981631
2016-06-03,20160049,Registered,981419
2016-06-03,20160049,Registered,981420
2016-06-03,20160054,Registered,981254;981255;981256
2016-06-03,20160066,Registered,981632
2016-06-03,20160066,Registered,981633
2016-06-03,20160066,Registered,981634
2016-06-03,20160072,Registered,981348
2016-06-03,20160072,Registered,981347
2016-06-03,20160127,Registered,981034
2016-06-03,20160127,Registered,981081;981082
2016-06-03,20160127,Registered,981035
2016-06-03,20160127,Registered,981142
2016-06-03,20160127,Registered,981036
2016-06-03,20160127,Registered,981037
2016-06-03,20160127,Registered,981038
2016-06-03,20160127,Registered,981074
2016-06-03,20160127,Registered,981039
2016-06-03,20160127,Registered,981083
2016-06-03,20160127,Registered,981040
2016-06-03,20160127,Registered,981041
2016-06-03,20160127,Registered,981042
2016-06-03,20160127,Registered,981084
2016-06-03,20160127,Registered,981143
2016-06-03,20160127,Registered,981043
2016-06-03,20160127,Registered,981144
2016-06-03,20160127,Registered,981085
2016-06-03,20160127,Registered,981086
2016-06-03,20160127,Registered,981087
2016-06-03,20160127,Registered,981088
2016-06-03,20160127,Registered,981089
2016-06-03,20160127,Registered,981145
2016-06-03,20160127,Registered,981146
2016-06-03,20160127,Registered,981090
2016-06-03,20160127,Registered,981091
2016-06-03,20160127,Registered,981147
2016-06-03,20160127,Registered,981092
2016-06-03,20160127,Registered,981093
2016-06-03,20160127,Registered,981094
2016-06-03,20160127,Registered,981161
2016-06-03,20160127,Registered,981044
2016-06-03,20160127,Registered,981045
2016-06-03,20160127,Registered,981095
2016-06-03,20160127,Registered,981096
2016-06-03,20160127,Registered,981046;981047
2016-06-03,20160127,Registered,981048
2016-06-03,20160127,Registered,981049
2016-06-03,20160127,Registered,981050
2016-06-03,20160127,Registered,981097
2016-06-03,20160127,Registered,981098
2016-06-03,20160127,Registered,981099
2016-06-03,20160127,Registered,981148
2016-06-03,20160127,Registered,981051
2016-06-03,20160127,Registered,981052
